标题,楼盘,地址,户型,面积,楼层,年代,价格
巴滨路，珠江城！次新房，豪装洋房，板式结构！挨公园近轻轨,珠江城(A区),巴南融汇龙汇路1488号,3室2厅1卫,98.1㎡,中层(共8层),2015年建造,16001元/㎡
融汇半岛  越昕晖 洋房小区 精装修 三房 拎包入住,越昕晖,巴南融汇西流沱三村99号,3室2厅2卫,90.5㎡,中层(共8层),2014年建造,15698元/㎡
电梯房 150万 85平 3室2厅 弘阳昕悦棠 采光好 周边,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2021年建造,17648元/㎡
壹中后门 沙区体育馆 晨光小区中装两房 步梯二楼 朝向安静,晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",2室2厅1卫,90㎡,低层(共9层),2000年建造,16667元/㎡
业主急售，可改三房 140万带产权车位买精装品质洋房,沿海赛洛城(A区),北碚城南新区冯时行路800号,2室2厅1卫,94㎡,中层(共6层),2016年建造,14889元/㎡
凤天锦园丶楼下就是图书馆轻轨站丶一梯三户丶住家安静,凤天锦园,沙坪坝凤天路凤天大道97号,2室2厅1卫,94㎡,中层(共11层),2003年建造,15852元/㎡
金科城精装3房140万买洋房,金科城59区,北碚蔡家长平路66号,3室2厅1卫,81㎡,中层(共8层),2017年建造,17284元/㎡
中央公园经典三房洋房出售，10号线鹿山轻轨站200米,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共7层),2020年建造,14344元/㎡
炸了！中央公园爆盘！鹿山轻轨站旁！145万起买渝北三房！,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14445元/㎡
中央公园经典洋房，靠近轻轨9号线春华站  旁边就是商业街,海成云境,渝北空港新城睦邻路10号,3室2厅2卫,99㎡,中层(共8层),2020年建造,14344元/㎡
内购房源！陈家桥叠拼头牌 超高赠送 居住   三轻轨环绕,佳兆业晓岸云起,沙坪坝陈家桥学城大道,3室2厅2卫,91㎡,中层(共8层),2020年建造,16484元/㎡
渝北回兴！精装修洋房！近轻轨商业！特价,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2019年建造,17000元/㎡
捡漏房源南坪城芯，舒适三房，南坪，近轻轨，支持公积金,中梁海成南山云璟,"南岸四公里广黔路,近海峡路",3室2厅2卫,99㎡,中层(共8层),2019年建造,14142元/㎡
渝北公园，特推！鹿山轻轨站旁，洋房三房双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14344元/㎡
渝北！回兴！轻轨300米！精装洋房！地段成熟！双轻轨配套,融信海月平湖,渝北回兴宝桐路56号,3室2厅2卫,90㎡,中层(共8层),2021年建造,16000元/㎡
99平 151万 3室2厅 电梯房 楼层好 视野无遮挡,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2021年建造,15253元/㎡
150万起买中央公园  品质洋房 近轻轨  近商业 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16854元/㎡
首付30万买千亿商圈杨家坪三房双轻轨出行南北通透,海纳九龙,九龙坡杨家坪龙江支路,3室2厅2卫,89㎡,中层(共8层),2020年建造,16742元/㎡
首付30万  买万科精装两房  一楼带花园,万科未来星光,"渝北悦来金兴大道,近翠岗路",3室2厅2卫,89㎡,中层(共8层),2018年建造,16293元/㎡
杨家坪 超人气楼盘地段 总价150万左右买九龙半岛品质洋房，,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,90㎡,中层(共8层),2021年建造,16889元/㎡
江北核心地段三房  双轻轨  近商圈 央企品质户型方正,保利阅江台,"江北石马河盘溪路,近盘溪一支路",3室2厅2卫,98㎡,中层(共8层),2020年建造,16123元/㎡
九龙坡杨家核心商圈 品质小高层 近轻轨 五洲书店 中迪广场,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,96㎡,中层(共9层),2020年建造,16250元/㎡
9折急卖！捡趴活！大竹林！,金科天元道砚北A组团,渝北大竹林龙凼路9号,3室2厅2卫,99㎡,中层(共8层),2017年建造,15455元/㎡
打造！九龙半岛！杨家坪商圈！轻轨站旁！,海纳九龙,九龙坡杨家坪龙江支路,3室2厅2卫,89㎡,中层(共11层),2020年建造,17529元/㎡
中央公园 轻轨站旁 洋房社区 配套成熟 在售小户型 首付两层,华润公园九里,渝北中央公园玉谷路23号,3室2厅2卫,97㎡,中层(共8层),2021年建造,15361元/㎡
蔡家必看！龙湖天街旁小户型洋房，140几万买横厅大三房,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,14677元/㎡
中央公园丶万科品质丶 特价丶 精装 横厅大三房,万科森林公园,"渝北中央公园甘悦大道,近春华大道",3室2厅2卫,98.9㎡,中层(共8层),2020年建造,15175元/㎡
高新区品质精装洋房丶带中央空调地暖新风丶近地铁丶首付三成,龙湖西宸原著,沙坪坝陈家桥香礼路2号,3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
保~真！（可刀）礼嘉核心区域！华宇精装修三房！带新风地暖,华宇旭辉御璟湖山,渝北礼嘉礼敬路699号,3室2厅2卫,96㎡,中层(共8层),2018年建造,15209元/㎡
特价房 九龙坡杨家坪 新奢低密度平层,海纳九龙,九龙坡杨家坪龙江支路,3室2厅2卫,89㎡,中层(共8层),2020年建造,16854元/㎡
近刘家平地铁站南北通透板式洋房看房方便诚心出售,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2018年建造,14889元/㎡
昕悦棠 中央公园 上市名企 1T2户品质洋楼 南北双阳台,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2020年建造,17177元/㎡
真实急卖！沙区汉渝路 晨光小区 中装两房 低楼层,晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",2室2厅1卫,90㎡,低层(共9层),2000年建造,16667元/㎡
首付30万抢中央公园轻轨洋房 正规三房两卫格局 总价145万,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
首付三成，抢中央公园后小户型，轻轨洋房丶横厅三房,海成云境,渝北空港新城睦邻路10号,3室2厅2卫,90㎡,中层(共8层),2021年建造,15567元/㎡
99平 151万 3室2厅 电梯房 楼层好 视野无遮挡,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2021年建造,15253元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
九龙坡杨家坪商圈 品质小高层 近轻轨 近万象城 超大阳台,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,96㎡,中层(共9层),2020年建造,16459元/㎡
杨家坪 超人气楼盘地段 总价150万左右买九龙半岛品质洋房，,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,90㎡,中层(共8层),2011年建造,16889元/㎡
好消息 今日加推洋房 145万入住中央公园 鹿山轻轨旁,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共11层),2021年建造,14647元/㎡
奥园广场旁，刘家坪轻轨站附近，目前为止   的小洋房,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共7层),2019年建造,14889元/㎡
新上房源！ 晨光小区 中装两房 步梯二楼 朝向安静,晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",2室2厅1卫,90㎡,低层(共9层),2000年建造,16667元/㎡
渝北中央公园鹿山轻轨站旁小洋房2站江北机场3站悦来配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共11层),2021年建造,16049元/㎡
沙坪坝三星智慧小区花园洋房，树人，3中家门口，配套成熟,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99.6㎡,中层(共8层),2020年建造,14765元/㎡
中央公园！住洋房！近轻轨的清水小户！懂得都懂！,华润公园九里,渝北中央公园玉谷路23号,3室2厅2卫,97㎡,低层(共11层),2020年建造,14743元/㎡
杨家坪商圈三房低首付，双轻轨，品质大阳台，周边配套成熟,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,90㎡,中层(共8层),2021年建造,16889元/㎡
九龙坡杨家核心商圈 品质小高层 近轻轨 五洲书店 中迪广场,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,96㎡,中层(共9层),2020年建造,16250元/㎡
可VR线上看房！员工特价！海成横厅三房小洋楼！临轻轨临公园！,海成云境,渝北空港新城睦邻路10号,3室2厅2卫,90㎡,中层(共8层),2021年建造,16667元/㎡
近轻轨近商圈，钥匙在手看房方便，诚售，低总价洋房仅需145W,中国铁建万国城68号,南岸茶园新区梨花大道570号,3室2厅2卫,97.4㎡,中层(共8层),2019年建造,14889元/㎡
中央公园经典三房洋房出售，10号线鹿山轻轨站200米,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共7层),2020年建造,14344元/㎡
特价房！科学城开发商清盘房源 沙区  三星智能小区 金科物业,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99.4㎡,中层(共8层),2020年建造,14081元/㎡
九龙坡杨家坪 商圈品质小高层 近轻轨 近商圈 资源好,荣安九龙壹号,"九龙坡杨家坪龙江支路,近龙江路",3室2厅2卫,96㎡,中层(共9层),2020年建造,16459元/㎡
中央公园 10号线轻轨一梯两户板式洋房 近公园近商业,华润公园九里,渝北中央公园玉谷路23号,3室2厅2卫,97㎡,中层(共11层),2020年建造,14640元/㎡
公园现在售  三房轻轨小洋楼 近轻轨近公园,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,低层(共11层),2020年建造,15464元/㎡
中央公园 后145万级洋楼开盘 三房两卫端头户型,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共11层),2020年建造,14949元/㎡
好消息 中央公园加推洋房 140万即可拥有 近轻轨 近公园,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,低层(共9层),2020年建造,15731元/㎡
公园品质洋房鹿山府 出门即轻轨站  两江国际商务,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,15051元/㎡
中央公园小洋房 加推2期，5轻轨换乘 3房4房欢迎咨询,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅2卫,90㎡,中层(共10层),2020年建造,15889元/㎡
！抢中央公园轻轨洋房丶横厅三房,海成云境,渝北空港新城睦邻路10号,3室2厅2卫,90㎡,中层(共8层),2021年建造,15900元/㎡
渝北公园，鹿山轻轨站旁，洋房三房双卫，南北通透，成熟社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,15051元/㎡
"抢！曹家湾轻轨旁，小户型洋房，星空阳台，朝阳小,学旁,近商业",玖著天宸,"北碚蔡家同康路,近同泰路",3室2厅2卫,89㎡,中层(共8层),2020年建造,16360元/㎡
3室2厅 98平 电梯房 南北通透 泷悦华府 居家自住 保养,泷悦华府,"沙坪坝陈家桥大学城北路,近陈南路",3室2厅2卫,98.6㎡,中层(共8层),2020年建造,15217元/㎡
王炸！王炸！中央公园头排丶万科精装洋房丶抓紧上车,万科森林公园,"渝北中央公园甘悦大道,近春华大道",3室2厅2卫,100㎡,中层(共8层),2018年建造,15008元/㎡
协信城立方洋房全新精装，带车位三房二卫大阳台户型方正视野宽广,协信城立方揽院,沙坪坝大学城大学城中路6号,3室2厅2卫,98.2㎡,中层(共7层),2016年建造,15070元/㎡
新房源！惊爆价！晨光小区！低楼层 正规两房 直降5万！,晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",2室2厅1卫,90㎡,低层(共9层),2003年建造,16445元/㎡
茶园南140万起买低密度星空洋墅300平全落地窗带花园露台,领地观云府,巴南鹿角华林路918号,3室2厅3卫,93㎡,中层(共8层),2019年建造,15054元/㎡
南北通透 蔡家龙湖天街旁 横厅洋房 公园邻商圈,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,92.1㎡,中层(共8层),2011年建造,15678元/㎡
中央公园 鹿山轻轨站旁 品质小洋楼,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
四月特价 山姆会员已经开业 华宇品质大盘  配套齐全 近轻轨,华宇旭辉御璟湖山,渝北礼嘉礼敬路699号,3室2厅1卫,94㎡,中层(共8层),2018年建造,16703元/㎡
隆鑫鸿府精装修全系智能家具业主未长住房间9成新看房方便,隆鑫鸿府,"渝北农业园区宝环路,近宝石路",3室2厅1卫,94㎡,中层(共11层),2017年建造,15426元/㎡
两江新区洋房产品，交通便利全新加推3室两厅两卫洋房产品,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,15385元/㎡
渝北回兴，轻轨洋房，房屋出售，南北通透！,爱情天宸万璟,渝北农业园区服装城大道,3室2厅2卫,99㎡,中层(共8层),2021年建造,14445元/㎡
首开 两江新区蔡家商圈 龙湖天街洋房横厅设计近公园 近轻轨,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,14171元/㎡
时代天街旁 奥体中心 高品质洋楼 紧邻轻轨站住家的好选择,金辉玖珑云璟,"九龙坡奥体中心龙腾大道,近奥体四支路",3室2厅2卫,88㎡,中层(共8层),2020年建造,16705元/㎡
首付30万买万科精装两房一楼带花园,万科未来星光,"渝北悦来金兴大道,近翠岗路",3室2厅2卫,89㎡,中层(共8层),2018年建造,16293元/㎡
首付30万抢中央公园轻轨洋房 正规三房两卫格局 总价145万,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16293元/㎡
渝北中央公园旁丶轻轨50米三轻轨交汇丶保利品质三房丶数据谷,保利和光尘樾,"渝北悦来悦清大道,近悦港大道",3室2厅2卫,95㎡,中层(共8层),2000年建造,15790元/㎡
两江新区洋房产品，交通便利全新加推3室两厅两卫洋房产品,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,15385元/㎡
渝北！公园东 150万买 10号轻轨鹿山旁  纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14647元/㎡
业主诚心出售！洋房！带露台！使用面积大！户型好！无浪费！安静,鲁能泰山7号十二街区,渝北中央公园嘉业路1号,3室2厅2卫,84㎡,中层(共7层),2017年建造,23215元/㎡
85平 满二  住房 3室2厅 电梯房 鲁能泰山7号十九街区,鲁能泰山7号十九街区,"渝北中央公园兰桂大道,近金山大道",3室2厅2卫,85㎡,中层(共9层),2018年建造,21177元/㎡
大坪万科锦尚三期精装三房，未住人，业主换房急售,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共10层),2016年建造,20248元/㎡
急售好房推荐中央公园 鲁能品质洋房 三房朝南 业主诚心稳定,鲁能泰山7号十八街区,"渝北中央公园兰桂大道,近金山大道",3室2厅2卫,89㎡,中层(共9层),2019年建造,20450元/㎡
业主急售中央公园豪华装修3房，周边配套成熟，紧邻轻轨商圈公园,鲁能泰山7号十二街区,渝北中央公园嘉业路1号,3室2厅2卫,87㎡,中层(共7层),2017年建造,21840元/㎡
鲁能泰山7号十七街区 180万 电梯房 南北通透 3室2厅,鲁能泰山7号十七街区,渝北中央公园博汇路10号,3室2厅2卫,85㎡,低层(共9层),2017年建造,21177元/㎡
业主稳定，价格可谈！纯洋房组团，内圈位置，拎包入住，看房方便,康田蔚蓝海(B区),渝北照母山星融路66号,3室2厅2卫,96.6㎡,中层(共11层),2017年建造,18632元/㎡
急售！金科东方王榭跃层洋房精装三房双卫中间楼层朝中庭配套成熟,金科东方王榭,渝北人和金开大道3号,3室2厅2卫,99㎡,中层(共6层),2008年建造,18182元/㎡
业主急售带车位 金科别墅品质 居家安静 临近融创渝乐小镇,金科天宸一街区,沙坪坝土主永祥路106号,3室2厅1卫,95.7㎡,低层(共11层),2017年建造,18922元/㎡
价格真实，业主诚心出售，朝南中庭，采光好。户型方正。近商业。,鲁能泰山7号十八街区,"渝北中央公园兰桂大道,近金山大道",3室2厅2卫,86㎡,中层(共9层),2017年建造,22326元/㎡
江北核心地段品质小区房双轻轨央企品质户型方正,保利阅江台,"江北石马河盘溪路,近盘溪一支路",3室2厅2卫,98㎡,中层(共8层),2020年建造,18776元/㎡
中央公园带露台洋房，周边配套成熟，紧邻轻轨商圈公园，业主急售,鲁能泰山7号十二街区,渝北中央公园嘉业路1号,3室2厅2卫,86㎡,中层(共7层),2017年建造,21512元/㎡
融创凡尔赛香榭 精装修 195万 电梯房 诚心出售 价格可议,融创凡尔赛香榭,渝北照母山星融路15号,3室2厅2卫,97㎡,中层(共8层),2014年建造,20104元/㎡
3室2厅 85平 185万 满二 楼层好 视野无遮挡,鲁能泰山7号十七街区,渝北中央公园博汇路10号,3室2厅2卫,85㎡,低层(共9层),2017年建造,21765元/㎡
鲁能洋房三房双卫超中庭轻轨都在旁边,鲁能泰山7号十九街区,"渝北中央公园兰桂大道,近金山大道",3室2厅2卫,85㎡,低层(共9层),2017年建造,21883元/㎡
金科天籁城美社 2室2厅 满五 143万 楼层好 视野无遮挡,金科天籁城美社,渝北人和双宁路172号,2室2厅2卫,93㎡,中层(共11层),2005年建造,15377元/㎡
沙区 城城 陈家桥 纯洋房 智慧小区 7米阔景阳台,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2019年建造,14334元/㎡
中央公园稀有小户型加推！轻轨200米！成熟配套！,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15039元/㎡
电梯房 南北通透 150万 华远海蓝和光 采光好 周边商圈成,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
145万买三房中央公园轻轨站500米 洋房社区加推小户型,华润公园九里,渝北中央公园玉谷路23号,3室2厅2卫,97㎡,中层(共8层),2020年建造,14949元/㎡
中央公园轻轨洋房，投资自住都是 之选， 户型端正性价比高,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14142元/㎡
渝北中央公园  鹿山轻轨站就在旁边 高端品质,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16742元/㎡
中央公园旁边 唔悦广场旁 清水三房,鲁能泰山7号十七街区,渝北中央公园博汇路10号,3室2厅2卫,85㎡,中层(共9层),2017年建造,21177元/㎡
渝中 万科锦尚3期洋房 2018年次新小区 三轻轨 还有车位,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共11层),2018年建造,20248元/㎡
100平 板式洋房，简单基装修正规三室两卫，小区环境优美,融创凡尔赛香榭,渝北照母山星融路15号,3室2厅2卫,97㎡,中层(共8层),2017年建造,20104元/㎡
鲁能泰山洋房4房2卫，朝中庭，采光好，业主诚心出售,鲁能泰山7号十九街区,"渝北中央公园兰桂大道,近金山大道",3室2厅2卫,85㎡,中层(共9层),2019年建造,21765元/㎡
热爆中央公园轻轨房 公园环绕 周边成熟 地铁三百米 错过再无,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,15731元/㎡
业主急售！万科锦尚三期洋房！精装从未住过人，带车位,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共10层),2018年建造,21373元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
惊喜！渝北！公园东10号轻轨鹿山旁纯洋房社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,14546元/㎡
首付30万抢中央公园轻轨洋房 正规三房两卫格局 总价143万,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16068元/㎡
万科锦尚洋房 18年次新小区 三轻轨,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共11层),2018年建造,20810元/㎡
中央公园三房两卫150万起10号轻轨房配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15980元/㎡
3室2厅 万科锦尚 满二  住房 电梯房 诚心出售 价格可议,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共10层),2018年建造,21260元/㎡
渝北公园，特推！鹿山轻轨站旁，洋房三房双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,14344元/㎡
万科锦尚三期 三房带车位出售 随时看房,万科锦尚,九龙坡石桥铺罗汉沟26号,3室2厅1卫,88.9㎡,低层(共10层),2015年建造,20810元/㎡
金科天籁城美社 2室2厅 满五 143万 楼层好 视野无遮挡,金科天籁城美社,渝北人和双宁路172号,2室2厅2卫,93㎡,中层(共11层),2005年建造,15377元/㎡
沙区 城城 陈家桥 纯洋房 智慧小区 7米阔景阳台,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2019年建造,14334元/㎡
中央公园稀有小户型加推！轻轨200米！成熟配套！,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15039元/㎡
中央公园小洋房丶轻轨200米丶南北通透丶周边配套成熟丶,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共6层),2020年建造,15152元/㎡
西区高品质洋房，临轻轨，交通方便，周边配套成熟，购物便利。,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共6层),2020年建造,14809元/㎡
！还不起按揭！旁边是八钟和巴蜀丶近公园近商圈丶轻轨50米,公园大道,"渝北中央公园公园东路,近同茂大道",3室2厅1卫,94㎡,中层(共8层),2018年建造,16869元/㎡
！渝北中央公园洋房社区 10号轻轨房 高端品质 配套成熟,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2018年建造,14433元/㎡
渝北公园 轻轨200米 花园洋房 双公园环绕 配套成熟可以看,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共11层),2021年建造,14647元/㎡
渝北中央公园 鹿山轻轨站旁 品质洋房 大横厅大阳台,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,高层(共7层),2020年建造,14748元/㎡
在售中央公园西区 荣盛花园洋房 正规三房 配套齐全,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2020年建造,16832元/㎡
特推！鹿山轻轨旁，中央公园小洋楼双卫，南北通透,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
！年底！首付14万起买公园纯洋房弘阳昕悦棠,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2019年建造,16471元/㎡
大学城小户型洋房精致户型，智慧生活，医疗完善，融创茂旁,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2018年建造,14647元/㎡
回兴首付2成买轻轨洋房，板式结构南北通透户型，横厅大阳台,爱情天宸万璟,渝北农业园区服装城大道,3室2厅2卫,99㎡,中层(共8层),2020年建造,14142元/㎡
开发商折扣小洋楼！园博园旁 万科精装  带地暖新风系统,万科金开悦府,"渝北悦来云卉路,近金兴大道",3室2厅2卫,95.3㎡,低层(共11层),2020年建造,14901元/㎡
在售（公园洋房）轻轨10号线旁鹿山站南北通透户型好配套完善,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,97㎡,中层(共8层),2021年建造,15052元/㎡
内部特价两江新区中式洋房精装现房在售抢完清盘靠近轻轨和商业,建发和玺,北碚蔡家金兴大道,3室2厅2卫,92㎡,中层(共6层),2020年建造,16305元/㎡
新房源！惊爆价！直降5万 低楼层 正规两房 朝向安静！,晨光小区,"沙坪坝三峡广场汉渝路,近龙泉路",2室2厅1卫,90㎡,低层(共9层),2005年建造,16445元/㎡
中央公园轻轨10号线旁 板式通透纯洋房 成熟配套出行方便,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,85㎡,中层(共8层),2021年建造,16471元/㎡
首开 大学城核心  佳兆业品牌精装修洋房  对面重大树人,佳兆业珑樾壹号,"沙坪坝曾家大学城南二路,近思贤路",3室2厅2卫,89㎡,中层(共9层),2021年建造,16843元/㎡
特价！渝北中央公园融创品牌精装   轻轨旁边,融创隐溪晓院,"渝北中央公园悦港大道,近土两路",3室2厅2卫,85㎡,中层(共8层),2021年建造,18236元/㎡
（花园洋房）中央公园十号线旁 三房可做四房 版式南北通透,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅2卫,99㎡,中层(共8层),2020年建造,16011元/㎡
151万买悦来品质小高层三公园环绕近轻轨近嘉陵江大横厅设计,江山雲出,渝北礼嘉古树坪路86号,3室2厅2卫,99.4㎡,中层(共11层),2021年建造,15189元/㎡
照母山北！园博园对面，环境优美 万科精装大3房！轻轨5号线旁,万科金开悦府,"渝北悦来云卉路,近金兴大道",3室2厅2卫,98.6㎡,中层(共8层),2019年建造,14809元/㎡
悦来万科精装两房一楼带花园,万科未来星光,"渝北悦来金兴大道,近翠岗路",3室2厅2卫,89㎡,中层(共8层),2018年建造,16293元/㎡
保利  开盘，位置尚好！开发商做口碑！.,保利和光尘樾,"渝北悦来悦清大道,近悦港大道",3室2厅2卫,95㎡,中层(共8层),2000年建造,15843元/㎡
渝北公园，鹿山轻轨站旁，洋房三房双卫，南北通透，成熟社区,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,99㎡,中层(共8层),2021年建造,15051元/㎡
150万   住房 99平 电梯房 3室2厅 华远海蓝和光,华远海蓝和光,沙坪坝陈家桥慧堂路,3室2厅2卫,99㎡,中层(共8层),2019年建造,15152元/㎡
两江新区 蔡家轻轨站附近 龙湖天街800米 纯洋房叠拼社区,保亿御景玖园,"北碚蔡家蔡支路,近金兴大道",3室2厅2卫,98.8㎡,中层(共8层),2021年建造,14677元/㎡
住房 3室2厅 南北通透 电梯房 房东急置换,中梁海成南山云璟,"南岸四公里广黔路,近海峡路",3室2厅2卫,99㎡,中层(共8层),2020年建造,15152元/㎡
渝北中央公园 138万买纯洋房 200多米轻轨站 公园环绕,弘阳昕悦棠,渝北两路桂馥大道25号,3室2厅1卫,86.5㎡,中层(共8层),2020年建造,17110元/㎡
中央公园荣盛鹿山府，公园房，近轻轨，五星体验之家大阳台房子,荣盛鹿山府,"渝北中央公园金州大道,近万康路",3室2厅2卫,89㎡,中层(共8层),2021年建造,16854元/㎡
